"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",13151069
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",7569022
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",12834989
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",8358631
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",6859033
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",54887224
"1ST","1ST GROUP LIMITED","Health Care Equipment & Services","09/06/2015",5667965
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",6208781
"29M","29METALS LIMITED","Materials","02/07/2021",496513655
"360","LIFE360 INC.","Software & Services","10/05/2019",1396190201
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",58358330
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",71169651
"3MFDA","3D METALFORGE LIMITED","Commercial & Professional Services","02/03/2021","SUSPENDED"
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",317956796
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",48976297
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",256746096
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",233990612
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",27732254
"88E","88 ENERGY LIMITED","Energy","20/01/2000",160862946
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",18995917
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",17153088
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",22038339
"92E","92 ENERGY LIMITED","Energy","15/04/2021",34757474
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",374683621
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",12359718
"A1M","AIC MINES LIMITED","Materials","04/11/1993",184889757
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",183664485
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",3913111080
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",5161969
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",892118322
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",7296869
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",958399128
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",11929074
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",4271393
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",54620588
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",19151527
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",238713935
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",698786576
"ABC","ADBRI LIMITED","Materials","31/05/1962",1053993501
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",20674541
"ABP","ABACUS PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",2359256151
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",14799211
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",24594990
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",94124497
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACB","A-CAP ENERGY LIMITED","Energy","19/05/2006",55459579
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",85478833
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","Capital Goods","27/06/2008",203235338
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",714492413
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",6921362
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",87817060
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",14377774
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",4731273
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",14181349
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",108975129
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",4112845
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",700939867
